Supplier Name,Gastronom Suggestion 1,Score 1,Gastronom Suggestion 2,Score 2,Gastronom Suggestion 3,Score 3,Status,Action
Royal Beluga Azerbaijan,,,,,,,❌ no match,
Diamond Beluga Azerbaijan,,,,,,,❌ no match,
Beluga Premium Azerbaijan,,,,,,,❌ no match,
Persian Sturgeon Azerbaijan,,,,,,,❌ no match,
Premium Osetra Azerbaijan,,,,,,,❌ no match,
Premium Sturgeon Azerbaijan,,,,,,,❌ no match,
Premium Sevruga Azerbaijan,,,,,,,❌ no match,
Premium Selection: Limited Edition Caviar,,,,,,,❌ no match,
Osetra Gold,Золотистая осетровая икра Osetra Gold 125г.,100,Золотистая осетровая икра Osetra Gold 50г.,20,Черная икра Imperial Gold 50г,9,✅ confirmed,
Royal Osetra,Черная осетровая икра Royal Osetra 50г.,100,Черная осетровая икра Royal Osetra 125г.,21,Золотистая осетровая икра Osetra Gold 125г.,9,✅ confirmed,
Imperial Gold,Черная икра Imperial Gold 50г,100,Черная икра Imperial Gold 125г,27,Золотистая осетровая икра Osetra Gold 125г.,7,✅ confirmed,
Royal Imperial Caviar,,,,,,,❌ no match,
Red Caviar Pink Salmon,,,,,,,❌ no match,
Pike Caviar,Икра Щуки 100 г.,100,Черная икра Imperial Gold 50г,1,Черная икра Imperial Gold 125г,1,✅ confirmed,
Sevruga Payss,,,,,,,❌ no match,
Bester Azerbaijan,,,,,,,❌ no match,
Cold Smoked Sockeye salmon,,,,,,,❌ no match,
Cold Smoked Klikach,,,,,,,❌ no match,
Lightly Salted Chir Slices,,,,,,,❌ no match,
Cold Smoked King Salmon Classic,,,,,,,❌ no match,
Soft Dried King Salmon,,,,,,,❌ no match,
"Kamchatka Red King Crab Legs ""Frozen""",Конечности Камчатского Краба,100,Золотистая осетровая икра Osetra Gold 125г.,1,Золотистая осетровая икра Osetra Gold 50г.,1,✅ confirmed,
"Magadan Shrimp ""Frozen""",Креветки Чилим Замороженный,100,Черная икра Imperial Gold 50г,2,Черная икра Imperial Gold 125г,2,✅ confirmed,
"Scallop ""Frozen""",,,,,,,❌ no match,
